 66, "DR Snare Dry",            1,  56.5,  21.1,  34.3,  46.7,  59.3
 67, "DR Sub Impact",           1,  55.8,  15.0,  25.1,  35.3,  45.4
 68, "FX Alien Storm",          1,  56.5, 103.1, 104.2, 104.5, 105.6
 69, "FX Blubberwasser FN",     1,  55.8,  33.1,  50.7,  68.7,  87.5
 70, "FX Break FM",             6,  55.8,  35.2,  59.3,  84.1, 109.8
 71, "FX C64 FN",               1,  55.8,  31.5,  49.1,  66.3,  82.9
 72, "FX Digital Transfer",     1,  55.8,  32.0,  53.2,  75.1,  98.6
 73, "FX Falling Break",        1,  55.2,  54.6,  54.5,  54.4,  54.4
 74, "FX Metallica FN",         1,  55.8,  65.8,  65.9,  50.8,  66.1
 75, "FX Mod Triangle FM",      1,  55.8,  16.5,  29.2,  42.2,  55.2
 76, "FX Noiz3machin3 FN",      1,  56.5,  28.9,  48.5,  65.2,  80.5
 77, "FX Quitscheentchen FN",   6,  55.8,  33.2,  51.0,  68.9,  87.7
 78, "FX Radeberger FN",        6,  55.8,  39.0,  66.4,  93.9, 121.5
 79, "FX Raindrops FN",         6,  55.8,  87.0,  51.1,  68.9,  86.9
 80, "FX Reverse FM",           6,  55.8,  17.6,  30.4,  43.1,  55.8
 81, "FX SO 6dB Sweep",         1,  55.8,  15.3,  26.1,  37.0,  47.7
 82, "FX Swell FN",             1,  55.8,  25.1,  38.2,  51.4,  65.0
 83, "FX Turntable FN",         6,  56.5,  38.3,  59.8,  81.3, 104.4
 84, "KB Big Synth FN",         6,  55.2,  58.4,  58.4,  58.2,  58.0
 85, "KB E-Piano",              6,  55.8,  23.2,  34.9,  45.7,  57.3
 86, "KB Glockenschlag FN",     4,  55.8,  26.0,  38.3,  50.5,  63.5
 87, "KB Piano House",          6,  55.8,  25.4,  37.0,  48.4,  59.7
 88, "KB White Noise FN",       3,  56.5,  23.6,  34.7,  46.3,  58.2
 89, "LD 8bitter II FN",        6,  55.8,  29.1,  41.9,  54.5,  67.0
 90, "LD Acid Saw",             6,  55.8,  15.7,  27.1,  37.8,  48.6
 91, "LD Bon Voyage FN",        1,  55.8,  23.2,  33.7,  44.1,  55.0
 92, "LD Crystal Lead",         1,  55.8,  24.9,  37.6,  50.3,  63.5
 93, "LD Drop In Pulse",        3,  55.8,  58.9,  58.9,  58.4,  58.9
 94, "LD Funky Mod",            1,  55.2,  15.3,  26.2,  36.9,  47.6
 95, "LD Metal Wahuuu",         1,  55.8,  17.5,  31.3,  44.4,  57.7
 96, "LD Morph Sync",           1,  56.5,  31.9,  52.1,  72.9,  94.1
 97, "LD Noisy Sync Lead",      1,  55.2,  20.5,  37.3,  54.0,  70.6
 98, "LD Plastic Attack",       1,  55.8,  20.1,  32.4,  44.4,  56.3
 99, "LD Pleutonium FN",        1,  55.8,  26.3,  36.1,  45.7,  56.0
100, "LD Plucked String",       1,  55.8,  28.4,  42.7,  57.4,  72.7
101, "LD Power Lead",           5,  55.2,  19.3,  33.5,  47.6,  61.6
102, "LD Resobells FN",         1,  55.8,  28.7,  42.2,  56.0,  70.3
103, "LD Sci Fi Organ",         6,  55.8,  28.6,  45.6,  62.7,  80.5
104, "LD Soft Bell Lead",       4,  55.2,  29.5,  47.8,  66.2,  84.8
105, "LD Special Starter",      1,  55.2,  28.8,  45.2,  61.9,  78.9
106, "LD Spring Bell",          2,  55.8,  29.8,  48.5,  67.5,  86.8
107, "LD SYNCElead FN",         1,  55.2,  27.1,  40.7,  54.4,  68.7
108, "LD Technoshocker FN",     1,  55.8,  17.3,  30.0,  42.9,  55.9
109, "LD Thin Lead",            1,  55.2,  26.7,  39.7,  53.2,  67.4
110, "LD Tranceline FN",        1,  55.2,  27.1,  38.1,  49.2,  60.6
111, "LD Woholead FN",          1,  55.8,  16.0,  27.1,  38.3,  49.4
112, "PD  Ringmodded FN",       1,  55.2,  29.2,  42.0,  55.2,  68.9
113, "PD Base Pad",             6,  55.2,  51.7,  51.7,  39.7,  51.0
114, "PD Bellomatism FN",       3,  55.2,  64.2,  64.4,  51.1,  64.4
115, "PD Big Trancer FN",       6,  55.2,  27.0,  38.8,  50.6,  62.4
116, "PD Bit Orchestra",        6,  55.8,  28.3,  43.1,  58.3,  74.2
117, "PD Bursting Pad",         4,  55.2,  33.8,  54.5,  75.2,  96.0
118, "PD Dark Animations FN",   3,  55.8,  24.2,  36.2,  48.1,  59.9
119, "PD Easymat FN",           6,  55.2,  26.0,  37.7,  49.7,  62.1
120, "PD Floating Pad",         6,  55.2,  32.8,  54.5,  76.3,  99.2
121, "PD Gated Pad",            3,  55.2,  68.8,  67.3,  68.0,  69.0
