 22, "BS Fat Side FN",          1,  68.0,  10.8,  18.9,  26.9,  34.8,  42.2,  50.1
 23, "BS Flamming Bass FN",     1,  68.0,  11.8,  19.6,  27.5,  35.3,  42.9,  50.9
 24, "BS Goodspeed FN",         1,  68.0,  15.7,  22.9,  29.9,  37.3,  44.4,  52.0
 25, "BS Hard 80's",            1,  68.7,  10.9,  17.6,  24.1,  30.8,  37.3,  43.9
 26, "BS Knarziger FN",         1,  68.0,  11.2,  17.9,  24.8,  31.9,  38.6,  45.6
 27, "BS LFO Roller FN",        1,  68.7,  11.9,  19.9,  28.0,  36.2,  44.0,  52.3
 28, "BS Madskillz FN",         1,  68.0,  15.1,  21.8,  28.5,  35.4,  42.1,  49.4
 29, "BS Mixmiddle FN",         1,  68.0,  14.2,  25.7,  37.1,  48.7,  60.2,  71.8
 30, "BS Night And Day FN",     6,  67.4,  12.0,  20.0,  28.0,  35.9,  43.9,  52.2
 31, "BS Noizigian FN",         1,  68.0,  11.9,  20.2,  28.6,  36.9,  45.1,  53.5
 32, "BS Open Bass FN",         1,  68.7,  10.8,  18.4,  25.9,  33.6,  41.1,  49.1
 33, "BS Pluggiator FN",        1,  68.0,  15.6,  23.3,  30.7,  37.8,  45.2,  53.0
 34, "BS SAWbreaker FN",        1,  68.0,  11.7,  19.2,  26.4,  33.7,  41.0,  48.7
 35, "BS Sawlight FN",          1,  68.0,  13.1,  20.5,  27.9,  35.3,  42.8,  50.2
 36, "BS Sci Fi",               1,  68.0,  16.1,  27.6,  39.6,  51.5,  63.4,  75.2
 37, "BS Slow Filter FN",       1,  68.0,  17.7,  26.3,  34.9,  43.6,  51.8,  60.3
 38, "BS Small Bassist FN",     6,  68.0,  17.1,  25.2,  33.2,  41.3,  49.3,  57.3
 39, "BS Syncetel Bass FN",     6,  68.7,  11.2,  18.0,  24.9,  31.8,  38.7,  45.8
 40, "BS Tripple Wobbler",      1,  68.7,  10.4,  18.1,  25.6,  33.2,  40.6,  48.1
 41, "BS Wobbler FN",           1,  68.0,  17.9,  26.9,  35.8,  45.0,  53.7,  63.2
 42, "BS Wobbler II FN",        1,  68.7,  18.4,  27.9,  37.4,  47.1,  56.8,  66.7
 43, "CD Universal FN",         1,  68.7,  17.2,  24.8,  32.7,  41.1,  48.9,  56.9
 44, "CH Chordionator FN",      6,  68.0,  16.5,  24.1,  31.6,  39.3,  46.5,  53.7
 45, "CH Chordionator II FN",   1,  68.7,  16.7,  24.3,  31.6,  39.5,  46.6,  53.9
 46, "CH Chordionator III FN",  3,  68.7,  10.3,  17.9,  25.5,  32.8,  40.0,  47.4
 47, "CH Chordionator IV FN",   1,  68.7,  15.6,  23.1,  30.5,  38.3,  46.1,  54.2
 48, "CH Open Mind FN",         1,  68.7,  17.1,  25.0,  32.8,  40.9,  48.6,  57.1
 49, "CH SIDchord FN",          6,  68.7,  18.0,  26.7,  35.5,  44.5,  53.1,  62.4
 50, "DR 8bit  Kick II FN",     1,  68.7,  15.2,  23.8,  32.3,  41.0,  49.6,  58.2
 51, "DR 8bit  Kick III FN",    6,  68.7,  18.9,  26.9,  34.8,  43.1,  51.3,  59.2
 52, "DR 8bit Kick FN",         6,  68.0,  16.9,  24.1,  31.5,  39.0,  46.7,  53.9
 53, "DR Crash Space",          6,  68.7,  15.4,  28.1,  40.9,  54.0,  67.4,  80.6
 54, "DR Hat Reverse",          1,  68.0,  11.8,  21.1,  30.4,  39.5,  48.7,  57.9
 55, "DR Hat Short Moves",      1,  68.7,  12.1,  21.2,  30.4,  39.5,  48.6,  57.9
 56, "DR Hat Short",            4,  68.7,  11.8,  21.0,  30.1,  39.3,  48.3,  57.6
 57, "DR HiHat FN",             1,  68.7,   9.0,  14.9,  20.8,  26.6,  32.4,  38.3
 58, "DR Kick Clean",           1,  68.7,  12.7,  22.4,  32.2,  41.9,  51.6,  61.4
 59, "DR Kick FN",              1,  68.7,   9.8,  16.3,  22.9,  29.5,  35.9,  42.6
 60, "DR Kick II FN",           1,  68.0,  18.9,  25.6,  32.3,  39.2,  45.9,  52.7
 61, "DR Kick III FN",          1,  69.3,  18.7,  26.7,  34.5,  42.7,  50.8,  58.7
 62, "DR Kick Old School",      6,  68.7,  12.7,  22.4,  32.2,  41.9,  51.6,  61.4
 63, "DR Kick Phat",            1,  68.7,  17.4,  26.7,  36.1,  45.5,  54.8,  64.1
 64, "DR Perc Bongo Room",      1,  68.7,  15.7,  23.6,  31.6,  39.5,  47.1,  54.6
 65, "DR Perc Room",            1,  68.7,  14.7,  21.4,  28.1,  35.1,  41.3,  47.8
 66, "DR Snare Dry",            1,  68.7,  13.9,  22.5,  30.8,  39.1,  47.2,  55.4
 67, "DR Sub Impact",           1,  69.3,   9.9,  16.6,  23.2,  29.8,  36.4,  43.3
 68, "FX Alien Storm",          1,  68.7,  98.7,  98.8, 100.2, 100.5, 101.7, 102.2
 69, "FX Blubberwasser FN",     1,  67.4,  21.7,  33.3,  45.3,  57.8,  69.8,  81.9
 70, "FX Break FM",             6,  68.7,  23.2,  39.0,  55.3,  72.3,  89.2, 106.4
 71, "FX C64 FN",               1,  68.0,  20.8,  32.4,  43.5,  54.6,  65.2,  75.9
 72, "FX Digital Transfer",     1,  68.7,  21.1,  35.0,  49.4,  64.9,  80.8,  97.6
 73, "FX Falling Break",        1,  68.0,  49.8,  49.7,  49.5,  49.6,  49.4,  49.4
 74, "FX Metallica FN",         1,  68.7,  63.3,  63.4,  33.5,  43.4,  53.5,  63.7
 75, "FX Mod Triangle FM",      1,  68.0,  10.9,  19.2,  27.7,  36.3,  44.7,  53.4
 76, "FX Noiz3machin3 FN",      1,  68.7,  19.7,  30.3,  43.2,  54.2,  64.2,  77.4
 77, "FX Quitscheentchen FN",   6,  68.0,  21.7,  33.5,  45.4,  57.9,  69.9,  81.7
 78, "FX Radeberger FN",        6,  68.7,  25.3,  43.2,  61.4,  79.8,  98.2, 116.7
 79, "FX Raindrops FN",         6,  68.0,  21.9,  33.6,  45.3,  57.3,  68.9,  80.3
 80, "FX Reverse FM",           6,  68.0,  11.6,  20.0,  28.4,  36.7,  45.1,  53.5
 81, "FX SO 6dB Sweep",         1,  68.7,  10.1,  17.2,  24.3,  31.4,  38.3,  45.2
 82, "FX Swell FN",             1,  68.7,  16.5,  25.2,  33.9,  42.8,  51.6,  60.8
 83, "FX Turntable FN",         6,  68.7,  25.2,  39.3,  53.5,  68.7,  84.4, 100.4
 84, "KB Big Synth FN",         6,  67.4,  51.8,  51.8,  51.7,  38.1,  44.8,  51.7
 85, "KB E-Piano",              6,  68.0,  15.3,  22.9,  30.0,  37.6,  46.6,  52.6
 86, "KB Glockenschlag FN",     4,  68.7,  17.1,  25.2,  33.1,  41.8,  50.4,  59.4
 87, "KB Piano House",          6,  68.0,  16.7,  24.2,  31.8,  39.3,  46.5,  53.9
 88, "KB White Noise FN",       3,  68.7,  15.5,  22.8,  30.3,  38.2,  45.4,  52.9
 89, "LD 8bitter II FN",        6,  69.3,  19.1,  27.6,  35.8,  44.2,  51.9,  60.9
 90, "LD Acid Saw",             6,  68.7,  10.3,  17.9,  24.9,  32.0,  38.9,  45.8
 91, "LD Bon Voyage FN",        1,  68.7,  15.2,  22.1,  29.0,  36.2,  43.1,  50.3
 92, "LD Crystal Lead",         1,  68.7,  16.4,  24.7,  33.1,  41.8,  50.2,  58.8
 93, "LD Drop In Pulse",        3,  68.7,  54.2,  54.1,  38.3,  38.6,  46.2,  53.9
 94, "LD Funky Mod",            1,  68.0,  10.1,  17.2,  24.3,  31.3,  38.3,  45.3
 95, "LD Metal Wahuuu",         1,  68.7,  11.5,  20.7,  29.3,  38.0,  46.8,  55.5
 96, "LD Morph Sync",           1,  68.7,  21.0,  34.3,  47.7,  61.5,  75.0,  89.8
 97, "LD Noisy Sync Lead",      1,  68.7,  13.5,  24.5,  35.5,  46.4,  57.2,  67.9
 98, "LD Plastic Attack",       1,  68.7,  13.2,  21.3,  29.2,  37.0,  44.8,  52.5
 99, "LD Pleutonium FN",        1,  68.7,  17.3,  23.8,  30.0,  36.7,  43.2,  50.2
100, "LD Plucked String",       1,  69.3,  18.7,  28.2,  37.8,  47.7,  57.7,  68.3
101, "LD Power Lead",           5,  68.7,  12.7,  22.0,  31.4,  40.6,  49.8,  59.6
102, "LD Resobells FN",         1,  68.7,  19.1,  28.0,  36.9,  46.4,  55.6,  64.9
103, "LD Sci Fi Organ",         6,  68.7,  18.8,  30.0,  41.3,  53.0,  64.5,  76.1
104, "LD Soft Bell Lead",       4,  69.3,  19.4,  31.5,  43.5,  55.8,  67.9,  80.8
105, "LD Special Starter",      1,  68.7,  19.0,  29.8,  40.7,  52.0,  63.0,  74.0
106, "LD Spring Bell",          2,  68.7,  19.7,  31.8,  44.3,  57.1,  69.8,  83.1
107, "LD SYNCElead FN",         1,  68.7,  17.8,  26.8,  35.7,  45.2,  54.3,  63.9
108, "LD Technoshocker FN",     1,  68.0,  11.4,  19.8,  28.2,  36.8,  45.0,  53.8
109, "LD Thin Lead",            1,  68.7,  17.6,  26.2,  35.0,  44.3,  53.3,  62.7
110, "LD Tranceline FN",        1,  68.7,  17.8,  25.1,  32.3,  40.0,  47.0,  54.4
111, "LD Woholead FN",          1,  69.3,  10.5,  17.8,  25.2,  32.5,  40.0,  47.5
112, "PD  Ringmodded FN",       1,  68.7,  19.3,  27.8,  36.3,  45.2,  53.6,  63.1
113, "PD Base Pad",             6,  68.7,  49.3,  49.4,  26.2,  33.5,  40.8,  48.1
114, "PD Bellomatism FN",       3,  68.0,  60.4,  60.5,  33.6,  42.3,  51.0,  60.5
115, "PD Big Trancer FN",       6,  68.7,  17.9,  25.5,  33.0,  41.2,  48.8,  56.5
116, "PD Bit Orchestra",        6,  69.3,  18.6,  28.5,  38.3,  48.8,  59.0,  69.7
117, "PD Bursting Pad",         4,  68.7,  22.2,  35.8,  49.4,  63.1,  76.6,  90.1
118, "PD Dark Animations FN",   3,  68.7,  15.9,  23.7,  31.6,  39.4,  46.8,  54.9
119, "PD Easymat FN",           6,  68.7,  17.1,  24.8,  32.7,  40.7,  48.6,  57.0
120, "PD Floating Pad",         6,  68.7,  21.6,  35.8,  50.2,  65.4,  79.9,  95.4
121, "PD Gated Pad",            3,  68.0,  67.4,  64.8,  63.8,  47.5,  56.9,  66.2
122, "PD Glasometer FN",        3,  68.0,  63.8,  63.7,  54.0,  44.9,  54.2,  64.1
123, "PD Open Square FN",       6,  68.0,  59.4,  51.7,  35.7,  44.2,  52.4,  60.9
124, "PD Padwobbler FN",        6,  68.7,  68.5,  58.5,  39.6,  49.6,  59.4,  69.6
125, "PD Sun Rise",             6,  68.0,  67.8,  27.9,  37.7,  47.9,  57.9,  68.3
126, "PD Sweet Analogue",       4,  68.7,  70.7,  66.9,  66.8,  67.0,  59.4,  66.9
127, "PD Twoflower FN",         4,  68.7,  79.6,  78.0,  78.0,  51.2,  66.2,  78.6
  0, "! Startup Juno Osc",      6,  64.2,   9.4,  16.0,  22.6,  29.2,  35.7,  42.4
  1, "ARP 303 Like FN",         1,  64.8,  15.6,  23.3,  30.6,  38.0,  44.9,  52.7
  2, "ARP 303 Like II FN",      1,  65.5,  16.0,  24.1,  31.9,  39.9,  47.3,  55.8
  3, "ARP C64 FN",              1,  65.5,  22.5,  35.8,  48.8,  62.2,  75.2,  88.7
  4, "ARP C64 II FN",           1,  66.1,  22.0,  35.2,  47.9,  60.9,  73.5,  86.4
  5, "ARP C64 III FN",          1,  66.1,  21.9,  35.1,  48.3,  61.8,  75.0,  88.4
  6, "ARP C64 IV FN",           1,  65.5,  18.7,  26.6,  34.5,  42.7,  50.8,  58.7
  7, "ARP Demotrack ARP FN",    6,  66.1,  11.1,  18.8,  26.4,  34.0,  41.4,  49.2
  8, "ARP Rumpelkammer FN",     1,  66.1,  12.8,  21.5,  30.2,  38.7,  47.4,  56.0
  9, "BS 007 X",                6,  66.1,  12.1,  20.4,  28.5,  36.8,  45.0,  53.3
 10, "BS 7th Gates FN",         1,  66.7,  10.1,  17.3,  24.3,  31.1,  38.0,  44.7
 11, "BS Bass Deep Room",       1,  66.7,  15.5,  23.1,  30.2,  37.6,  44.6,  52.0
